NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名,English_Name 英语人物姓名,VIAF,YOB 出生年份,YOD 逝世年份,Dialect_Group 方言群,Hometown_in_Details 细致祖籍地,Search_by_Place_of_Birth 出生地检索,NLB_Link NLB链接
97,Focused,高德根,Ko Teck Kin,,1911,1966,闽/Hokkien,"福建省龙溪县（今属龙海县）/Longxi County, Fujian Province (Now at Longhai County)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/YmVEvqtcrEc&label=Ko,%20Teck%20Kin"
98,Focused,郭芳枫,Kwek Hong Png,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/CfS1PY-fFL4&label=Kwek,%20Hong%20Png"
99,Focused,郭可模,Guok Koh Muo,,1890,1963,闽/Hokkien,"福建省福清县/Fuqing County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/GvjKnWU43Xo&label=Guok,%20Koh%20Muo"
100,Focused,郭珊瑚,Guo Shanhu,,1898,Nil,闽/Hokkien,"福建省龙溪县（今属龙海县）/Longxi County, Fujian Province (Now at Longhai County)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/eNiZuMKuUow&label=Guo,%20Shanhu"
101,Focused,郭新,Quek Shin,,1886,1955,琼/Hainan,"海南省文昌县/Wenchang County, Hainan Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/sUb9rOFxT4c&label=Quek,%20Shin"
102,Focused,韩槐准,Han Wai Toon,,1892,1970,琼/Hainan,"广东省文昌县（今属海南省）/Wenchang County, Guangdong Province (Now at Hainan Province)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/2nsH1WjHjH8&label=Han,%20Wai%20Toon"
103,Focused,韩瑞生,Hon Sui Sen,,1916,1983,潮/Teochew,"广东省揭阳县/Jieyang County, Guangdong Province",槟城/Penang,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/P_AW00NeReY&label=Hon,%20Sui%20Sen"
104,Related,何思明,Ho See Beng,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
105,Focused,洪恭兰,Ang Keong Lan,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/AoLo_dixBC4&label=Ang,%20Keong%20Lan"
106,Focused,洪锦池,Ang Kim Tee,,1838,1910,闽/Hokkien,福建/Fujian,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/4SDzPAkDs0s&label=Ang,%20Kim%20Tee"
107,Focused,洪锦棠,Hong Jintang,,1906,1983,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/89F6eL45j-U&label=Hong,%20Jintang"
108,Focused,胡金钟,Aw Kim Chen,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/2t3_2syKTDY&label=Aw,%20Kim%20Chen"
109,Focused,胡文豹,Aw Boon Par,,1886,Nil,客/Hakka,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/UJEENdBEshE&label=Aw,%20Boon%20Par"
110,Focused,胡文虎,Aw Boon Haw,,1882,1954,客/Hakka,"福建省永定县/Yongding County, Fujian Province",仰光/Yangon,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/U454gF-XPps&label=Aw,%20Boon%20Haw"
111,Focused,胡亚基,Hoo Ah Kay,,1816,1880,粤/Canton,"广东省广州市/Guangzhou, Guangdong",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/MlkL8bzXXGw&label=Hoo,%20Ah%20Kay"
112,Focused,黄葆芳,Huang Pao Fang,,1912,1989,闽/Hokkien,"福建省福安县/Fu'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/xu2rp9sC9go&label=Huang,%20Pao%20Fang"
113,Focused,黄笃修,Wong Tok Sau,,1914,1978,闽/Hokkien,"福建省厦门市/Xiamen City, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/DOvB979OScw&label=Wong,%20Tok%20Sau"
114,Focused,黄桂楠,Ng Quee Lam Dato,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/9Hg3E1xscmQ&label=Ng,%20Quee%20Lam,%20Dato"
115,Focused,黄金辉,Wee Kim Wee,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/tukMLEj_sBc&label=Wee,%20Kim%20Wee"
116,Focused,黄麟根,Wong Lin Ken,,1931,1983,粤/Canton,广东/Guangdong,槟榔屿/Penang Island,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/56uCSI31bCU&label=Wong,%20Lin%20Ken"
117,Focused,黄曼士,Huang Mun Se,,1890,1963,闽/Hokkien,福建省福州市/Fuzhou city of Fujian,福州/Fuzhou,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/lb2GiQloz0g&label=Huang,%20Mun%20Se"
118,Focused,黄乃裳,Wong Nai Siong,,1849,1924,闽/Hokkien,"福建省闽清县/Minqing County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Zrbk-qMKhoE&label=Wong,%20Nai%20Siong"
119,Related,黄瑞朝,Wee Swee Teow,,Nil,Nil,暂无/Nil,新加坡/Singapore,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
120,Focused,黄树芬,Wong Shee Fun,,1897,1979,粤/Canton,"广东省台山县/Taishan County, Guangdong Province",柔佛州/Johore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/07_gefVbNuk&label=Wong,%20Shee%20Fun"
121,Focused,黄亚福,Wong Ah Fook,,1837,1918,粤/Canton,"广东省台山县/Taishan County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/TFy304CrMBo&label=Wong,%20Ah%20Fook"
122,Focused,黄仲涵,Oei Tiong Ham,,1866,1924,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",三宝垅/Kota Semarang,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/AoCq7RuwHrs&label=Oei,%20Tiong%20Ham"
123,Focused,黄宗仁,Wee Chong Jin,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/q0WBc0EHKlo&label=Wee,%20Chong%20Jin"
124,Focused,柯进来,Kuah Chin Lai,,1893,1990,闽/Hokkien,"福建省安溪县/Anxi County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/OtokAC-KdqY&label=Kuah,%20Chin%20Lai"
125,Focused,柯隆美,Kuah Leong Bee,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/SU6PngXmKK0&label=Kuah,%20Leong%20Bee"
126,Focused,孔天增,Kung Tian Cheng,,1879,1915,暂无/Nil,马六甲/Malacca,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/jyRNhT--Izc&label=Kung,%20Tian%20Cheng"
127,Focused,柯玉芝,Kwa Geok Choo,,1920,2010,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/n3Mr-6gtLMQ&label=Kwa,%20Geok%20Choo"
128,Focused,李光耀,Lee Kuan Yew,,1923,2015,客/Hakka,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/wW1ykB8puD4&label=Lee,%20Kuan%20Yew"
129,Focused,李金塔,Lee Kim Tah,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/avnBZzxDx40&label=Lee,%20Kim%20Tah"
130,Focused,李俊承,Lee Choon Seng,,1888,1966,闽/Hokkien,福建省/Fujian Province,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/NOzn3G8gXh8&label=Lee,%20Choon%20Seng"
131,Focused,李浚源,Lee Choon Guan,,1868,1924,闽/Hokkien,"福建省永春县/Yongchun County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/w7VDcmI_VSg&label=Lee,%20Choon%20Guan"
132,Focused,李庆杰,Lee Keng Kiat,,1851,1917,暂无/Nil,马六甲/Malacca,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/v_VHRh3sZOw&label=Lee,%20Keng%20Kiat"
133,Focused,李庆炎,Lee Keng Yam,,1842,1888,暂无/Nil,马六甲/Malacca,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/W_iSZlUL8yU&label=Lee,%20Keng%20Yam"
134,Focused,李清渊,Lee Cheng Yan,,1841,1911,闽/Hokkien,"福建省永春县/Yongchun County, Fujian Province",马六甲/Melaka,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/tJEorFb_gXA&label=Lee,%20Cheng%20Yan"
135,Focused,李绍茂,Lee Siow Mong,,1915,1989,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/hkSyzuuCbGQ&label=Lee,%20Siow%20Mong"
136,Focused,李伟南,Lee Wee Nam,,1881,1964,潮/Teochew,"广东省澄海县/Chenghai County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/ED61SWnGr2o&label=Lee,%20Wee%20Nam"
137,Focused,李云龙,Lee Hoon Leong,,1871,1942,客/Hakka,"广东省大埔县/Dapu County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/FZliRGQ5rRI&label=Lee,%20Hoon%20Leong"
138,Focused,李振殿,Lee Chin Tian,,1875,1965,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/2fzHs5EpZ54&label=Lee,%20Chin%20Tian"
139,Focused,李钟珏,Li Zhongjue,,1854,1927,三江/Sam Kiang,"上海宝山县高桥镇/Gaoqiao Town, Baoshan County, Shanghai",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/iaJPIneWoX8&label=Li,%20Zhongjue"
140,Focused,李珠娘,Lee Choo Neo,,1895,1947,客/Hakka,"广东省大埔县/Dapu County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/ihJF2Iq-gvU&label=Lee,%20Choo%20Neo"
141,Focused,连士升,Lian Shisheng,,1907,1973,闽/Hokkien,"福建省福安县/Fu'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/fEtUt62AQXs&label=Lian,%20Shisheng"
142,Focused,连瀛洲,Lien Ying Chow‏,,1906,2004,潮/Teochew,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/TF77JFVdHKA&label=Lien,%20Ying%20Chow%E2%80%8F"
143,Focused,梁庆经,Leong Heng Keng,,Nil,Nil,粤/Canton,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/ZkSn5vzLYHc&label=Leong,%20Heng%20Keng"
144,Focused,梁润之,Leung Yun Chee,,1895,1970,粤/Canton,"广东省顺德县/Shunde County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/TlsnRD5BghQ&label=Leung,%20Yun%20Chee"
145,Focused,梁宙,Neo Tiew,,1884,1975,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/yxdZ6WBbF1Y&label=Neo,%20Tiew"
146,Focused,廖正兴,Liau Chia Heng,,1874,1934,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/4Ke2TftrGSE&label=Liau,%20Chia%20Heng"
147,Focused,林秉懋,Lim Peng Mau,,1994,1960,闽/Hokkien,"福建省龙溪县（今属龙海县）/Longxi County, Fujian Province (Now at Longhai County)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/WiSgwEGq294&label=Lim,%20Peng%20Mau"
148,Focused,林秉祥,Lim Peng Siang,,1872,1944,闽/Hokkien,"福建省龙溪县（今属龙海县）/Longxi County, Fujian Province (Now at Longhai County)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/QNMvWrRKjQU&label=Lim,%20Peng%20Siang"
149,Focused,林晨,Lin Chen,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/xgcPmIWycU0&label=Lin,%20Chen"
150,Focused,林衡南,Lim Kong Chuan,,Nil,Nil,闽/Hokkien,"福建省金门县/Jinmen County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/uTR_wSCKWAs&label=Lim,%20Kong%20Chuan"
151,Focused,林继民,Lim Kee Ming,,Nil,Nil,潮/Teochew,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/5xrxQEpHE90&label=Lim,%20Kee%20Ming"
152,Focused,林金山,Lim Kim San,,Nil,2006,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/7-K38yfxtak&label=Lim,%20Kim%20San"
153,Focused,林浪新,Lim Nang Seng,,1912,1987,闽/Hokkien,福建/Fujian,古晋/Kuching,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/d4EyU00OwvM&label=Lim,%20Nang%20Seng"
154,Related,陈登榜,Nil,,Nil,Nil,暂无/Nil,暂无/Nil,暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
155,Focused,林谋盛,Lim Bo Seng,,1909,1944,闽/Hokkien,"福建省南安县/Nan'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/-MLSaFFXMOM&label=Lim,%20Bo%20Seng"
156,Focused,林师万,Lim Soo Ban,,1886,1953,客/Hakka,"广东省大埔县/Dapu County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/q9qPBKPXqfQ&label=Lim,%20Soo%20Ban"
157,Focused,林树彦,Lim Soo Gan,,1912,1993,潮/Teochew,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/rjA_yPNwupQ&label=Lim,%20Soo%20Gan"
158,Focused,林推迁,Lim Chwee Chian,,1864,1923,闽/Hokkien,"福建省海澄县/Haicheng County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/QtYkNIRd-YI&label=Lim,%20Chwee%20Chian"
159,Focused,林学大,Lim Hak Tai,,1893,1963,闽/Hokkien,"福建省厦门市/Xiamen City, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/dJm4qBp8bNg&label=Lim,%20Hak%20Tai"
160,Focused,林有福,Lim Yew Hock,,1914,1984,闽/Hokkien,新加坡/Singapore,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/EnUFQllUKqw&label=Lim,%20Yew%20Hock"
161,Focused,林忠邦,Lim Chong Pang,,1904,1956,潮/Teochew,"广东省澄海县/Chenghai County, Guangdong Province",新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/lSGuF5eNW_o&label=Lim,%20Chong%20Pang"
162,Focused,刘金榜,Low Kim Pong,,1837,1909,闽/Hokkien,"福建省南靖县/Nanjing County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/5BxCBY5gCnU&label=Low,%20Kim%20Pong"
163,Focused,刘抗,Liu Kang,,1911,2004,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/qoyRMHnPYYQ&label=Liu,%20Kang"
164,Focused,刘仁心,Low Ing Sing,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Dwgrux03kQE&label=Low,%20Ing%20Sing"
165,Focused,陆寅杰,Look Yan Kit,,1849,1931,粤/Canton,"广东省广州市/Guangzhou, Guangdong",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/KbccOu4YxQA&label=Look,%20Yan%20Kit"
166,Focused,陆佑,Loke Yew,,1845,1917,粤/Canton,"广东省鹤山县/Heshan County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/w-zKPQdc76o&label=Loke,%20Yew"
167,Focused,陆运涛,Loke Wan Tho,,1915,1964,粤/Canton,"广东省鹤山县/Heshan County, Guangdong Province",吉隆坡/Kuala Lumpu,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/WKcOauC0wR4&label=Loke,%20Wan%20Tho"
168,Related,莫履瑞,Nil,,Nil,Nil,琼/Hainan,"广东省琼海县（今属海南省）/Qionghai County, Guangdong Province (Now at Hainan Province)",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
169,Focused,欧阳奇,Owyang Chi (Au Yong Chi),,1897,1988,潮/Teochew,"广东省澄海县/Chenghai County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/jTtGC3GUtbo&label=Owyang,%20Chi"
170,Focused,潘受,Pan Shou,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/a3Jbw83C0gU&label=Pan,%20Shou"
171,Focused,潘醒农,Phua Chye Long,,1904,1987,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/dQWWzSxOMpM&label=Phua,%20Chye%20Long"
172,Focused,邱德拔,Khoo Teck Puat,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/wctZIJ3HFWQ&label=Khoo,%20Teck%20Puat"
173,Focused,邱菽园,Khoo Seok Wan,,1874,1941,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/SP-I7SC3evw&label=Khoo,%20Seok%20Wan"
174,Focused,邱新民,Chiou Sin Min,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/VaHXgG_hySY&label=Chiou,%20Sin%20Min"
175,Focused,邱正忠,Khoo Cheng Tiong,,1820,1896,闽/Hokkien,"福建省海澄县（今属龙海县）/Haicheng County, Fujian Province (Now at Longhai County)",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/FHjnbMpTZSM&label=Khoo,%20Cheng%20Tiong"
176,Focused,邱雁宾,Yow Ngan Pan,,1863,1923,粤/Canton,"广东省南顺县/Nanshun County, Guangdong Province",新加坡/Singapore,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/t2Gq15B1EPo&label=Yow,%20Ngan%20Pan"
177,Focused,邵仁枚,Shaw Runme,,1901,1985,三江/Sam Kiang,"浙江省镇海县/Zhenhai County, Zhejiang Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/NnyWsTiBaU8&label=Shaw,%20Runme"
178,Focused,佘连城,Seah Liang Seah,,1850,1925,潮/Teochew,"广东省澄海县/Chenghai County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/zgEXP9gnxzI&label=Seah,%20Liang%20Seah"
179,Focused,佘有进,Seah Eu Chin,,1805,1883,潮/Teochew,"广东省澄海县/Chenghai County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/zlqq1FNn8gM&label=Seah,%20Eu%20Chin"
180,Focused,施香沱,See Hiang To,,1906,1990,闽/Hokkien,"福建省龙溪县/Longxi County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/jkuGeYaU35w&label=See,%20Hiang%20To"
181,Focused,宋佛俭,Song Hoot Kiam,,1830,1900,闽/Hokkien,"福建省南靖县/Nanjing County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/yt4-GBNNneY&label=Song,%20Hoot%20Kiam"
182,Focused,宋旺相,Song Ong Siang,,1871,1941,闽/Hokkien,"福建省南靖县/Nanjing County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/RQbqTdKybQk&label=Song,%20Ong%20Siang"
183,Focused,宋旺裕,Song Ong Joo,,1877,1962,闽/Hokkien,"福建省南靖县/Nanjing County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/Wc46z5_FM84&label=Song,%20Ong%20Joo"
184,Focused,孙炳炎,Soon Peng Yam,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/l8PjjSzSqPo&label=Soon,%20Peng%20Yam"
185,Focused,孙崇瑜,Sng Choon Yee,,Nil,Nil,闽/Hokkien,暂无/Nil,暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/UZ9Erc8dTkM&label=Sng,%20Choon%20Yee"
186,Focused,王邦杰,Heng Pang Kiat,,1856,1930,潮/Teochew,"广东省潮安县/Chao'an County, Guangdong Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/yNb8tb2hPKY&label=Heng,%20Pang%20Kiat"
