NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名,English_Name 英语人物姓名,VIAF,YOB 出生年份,YOD 逝世年份,Dialect_Group 方言群,Hometown_in_Details 细致祖籍地,Search_by_Place_of_Birth 出生地检索,NLB_Link NLB链接
27,Related,高云览,Nil,,Nil,Nil,闽/Hokkien,"福建省厦门市/Xiamen City, Fujian Province",厦门/Xiamen,http://shgis.nus.edu.sg/sbdb/unavailable.html
28,Focused,何葆仁,Ho Pao Jin,,1895,1978,闽/Hokkien,"福建省厦门市/Xiamen City, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/1XJWymygTBA&label=Ho,%20Pao%20Jin"
29,Related,陈森茂,Nil,,Nil,Nil,闽/Hokkien,"福建省厦门市/Xiamen City, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
30,Related,王锦良,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
31,Related,叶清沙,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
32,Focused,陈嘉庚,Tan Kah Kee,,1874,1961,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",集美/Jimei,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/_am9agz0qak&label=Tan,%20Kah%20Kee"
33,Focused,陈六使,Tan Lark Sye,,1897,1972,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",集美/Jimei,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/AOn3Waeg1g8&label=Tan,%20Lark%20Sye"
34,Related,陈敬贤,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
35,Related,陈笃山,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
36,Related,陈赐曲,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
37,Related,陈共存,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
38,Related,陈丽好,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
39,Related,陈万安,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
40,Related,叶玉堆,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
41,Related,林汉河,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
42,Related,陈爱礼,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
43,Related,吴瑞甫,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
44,Related,陈杞柏,Nil,,Nil,Nil,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,http://shgis.nus.edu.sg/sbdb/unavailable.html
45,Focused,陈延谦,Tan Ean Kiam,,1881,1943,闽/Hokkien,"福建省同安县/Tong'an County, Fujian Province",暂无/Nil,"http://eresources.nlb.gov.sg/linkeddata/entity_new.html?uri=http://eresources.nlb.gov.sg/ID/NLBDM/vocab/oVaXZ5-vKx8&label=Tan,%20Ean%20Kiam"
