NodeID 人物编号,Focused_or_Related 核心人物/相关人物,Chinese_Name 汉字人物姓名,﻿person ID,chinese name,hanyupinyin_ corrected,year of birth,year of death,出生地 (1st column is self-designated without referencing sources),,,birth - province,birth - level2,birth - level 3,birth - level 4,birth - level 5
75,Focused,陈金钟,C01206,陈金钟,chen jin zhong ,,,,,,福建,海澄,,,
76,Focused,陈明水,C00030,陈明水,chen ming shui,1828,1884,,,,福建,永春,,,
77,Focused,陈齐贤,C01218,陈齐贤,chen qi xian ,1871,1916,,,,福建,海澄,,,
78,Focused,陈人浩,C00331,陈人浩,chen ren hao,1908,1976,,,,福建,福州,,,
79,Focused,陈若锦,C00032,陈若锦,chen ruo jin,1859,1917,,,,福建,永春,,,
80,Focused,陈诗武,C00338,陈诗武,chen shi wu,1832,1883,,,,,,,,
81,Focused,陈思敏,C00344,陈思敏,chen si min,1882,1939,,,,福建,永春,,,
82,Focused,陈送,C00346,陈送,chen song,1762,1835,中国,广州,,广东,广州,,,
83,Focused,陈泰,C00347,陈泰,chen tai,1839,1898,中国,,,福建,金门,,,
84,Focused,陈旭年,C00358,陈旭年,chen xu nian,1827,1902,,,,广东,潮安,,,
85,Focused,陈延反
86,Focused,陈仰安,C00361,陈仰安,chen yang an,1940,1976,,,,广东,潮安,,,
87,Focused,陈永锡
88,Focused,陈永裕
89,Focused,陈振传,C00008,陈振传,chen zhen chuan ,1908,2005,新加坡,,,,,,,
90,Focused,陈之初,C00384,陈之初,chen zhi cu,1911,1980,,,,广东,潮州,,,
91,Focused,陈宗瑞,C00389,陈宗瑞,chen zong rui,1910,1985,,,,广东,潮州,,,
92,Focused,戴河水,C00395,戴河水,dai he shui,1834,1903,,,,福建,漳浦,,,
93,Focused,丁马成
94,Focused,杜进才,C00009,杜进才,du jin cai ,1921,2012,马来西亚 ,霹雳,,,,,,
95,Focused,傅无闷,C00412,傅无闷,fu wu men,1892,1965,,,,福建,南安,,,
96,Focused,符致逢,C00414,符致逢,fu zhi feng,? ,1975,,,,广东,文昌,,,
97,Focused,高德根,C00419,高德根,gao de gen,1911,1966,,,,福建,龙溪,,,
98,Focused,郭芳枫
99,Focused,郭可模,C00100,郭可模,guo ke mo,1890,1963,中国,,,福建,福清,,,
100,Focused,郭珊瑚,C00102,郭珊瑚,guo shan hu,1898, ?,,,,福建,龙溪,,,
101,Focused,郭新,C00103,郭新,guo xin,1886,1955,,,,海南,文昌,,,
102,Focused,韩槐准,C00435,韩槐准,han huai zhun,1892,1970,,,,广东,文昌,,,
103,Focused,韩瑞生,C00436,韩瑞生,han rui sheng,1916,1983,,,,广东,揭阳,,,
104,Related,何思明
105,Focused,洪恭兰
106,Focused,洪锦池,C00454,洪锦池,hong jing chi,1838,1901,,,,福建,,,,
107,Focused,洪锦棠,C00456,洪锦棠,hong jing tang,1906,1983,新加坡,,,福建,南安,,,
108,Focused,胡金钟
109,Focused,胡文豹,C00114,胡文豹,hu wen bao,1886,1944,缅甸,仰光,,福建,永定,,,
110,Focused,胡文虎,C00115,胡文虎,hu wen hu,1884,1954,缅甸,仰光,,福建,永定,,,
111,Focused,胡亚基,C00481,胡亚基,hu ya ji,1816,1880,,,,广东,广州,,,
112,Focused,黄葆芳,C00490,黄葆芳,huang bao fang,1912,1989,,,,福建,福安,,,
113,Focused,黄笃修,C00496,黄笃修,huang du xiu,1914,1978,,,,福建,厦门,,,
114,Focused,黄桂楠
115,Focused,黄金辉
116,Focused,黄麟根,C00505,黄麟根,huang lin gen,1931,1983,马来亚,槟榔屿,,广东,,,,
117,Focused,黄曼士,C00507,黄曼士,huang man shi,1890,1963,福州,,,福建,福州,,,
118,Focused,黄乃裳,C00510,黄乃裳,huang nai shang,1849,1924,,,,福建,闽清,,,
119,Related,黄瑞朝,C00513,黄瑞朝,huang rui chao,1880,1954,新加坡,,,新加,坡出生,,,
120,Focused,黄树芬,C00121,黄树芬,huang shu fen,1897,1979,马来亚,柔佛,,广东,台山,,,
121,Focused,黄亚福,C00539,黄亚福,huang ya fu,1837,1918,中国,,,广东,台山,,,
122,Focused,黄仲涵,C00035,黄仲涵,huang zhong han,1866,1924,荷属东印度,三宝垅,,福建,同安,,,
123,Focused,黄宗仁
124,Focused,柯进来,C00566,柯进来,ke jin lai,1893,1990,中国,,,福建,安溪,,,
125,Focused,柯隆美
126,Focused,孔天增,C00570,孔天增,kong tian zeng,1879,1915,马来西亚 ,马六甲 ,,——,,,,
127,Focused,柯玉芝,C00013,柯玉芝,ke yu zhi ,1920,2010,新加坡,,, ,,,,
128,Focused,李光耀,C00014,李光耀,li guang yao ,1923,2015,新加坡,,,广东省 , 梅州市 , 大埔县 , 高陂镇 ,党溪乡
129,Focused,李金塔,C03504,李金塔,li jin ta ,,,,,,福建,南安,,,
130,Focused,李俊承,C04063,李俊承,li jun4 cheng ,,,,,,,,,,
131,Focused,李浚源,C00036,李浚源,li jun yuan,1868,1924,,,,福建,永春,,,
132,Focused,李庆杰,C00609,李庆杰,li qing jie,1851,1917,马来西亚 ,马六甲 ,,,,,,
133,Focused,李庆炎,C00611,李庆炎,li qing yan,1842,1888,,,,福建,南安,,,
134,Focused,李清渊,C00037,李清渊,li qing yuan,1841,1911,马来西亚 ,马六甲,,福建,永春,,,
135,Focused,李绍茂,C00619,李绍茂,li shao mao,1915,1989,,,,广东,潮安,,,
136,Focused,李伟南,C00624,李伟南,li wei nan,1880,1964,,,,广东,澄海,,,
137,Focused,李云龙,C00634,李云龙,li yun long,1879,1942,新加坡 ,,,广东,大埔,,,
138,Focused,李振殿,C00138,李振殿,li zhen dian,1875,1965,,,,福建,海澄,,,
139,Focused,李钟珏,C00636,李钟珏,li zhong jue,1854,1927,中国,上海,宝山县高桥镇,江苏,昆山,,,
140,Focused,李珠娘,C00038,李珠娘,li zhu niang,1895,1947,,,,广东,大埔,,,
141,Focused,连士升,C00637,连士升,lian shi sheng,1907,1973,,,,福建,福安,,,
142,Focused,连瀛洲,C03959,连瀛洲,lian ying zhou ,,,,,,广东,潮阳,,,
143,Focused,梁庆经
144,Focused,梁润之,C00641,梁润之,liang run zhi,1895,1970,,,,广东,顺德,,,
145,Focused,梁宙,C00646,梁宙,liang zhou,1884,1975,,,,福建,南安,,,
146,Focused,廖正兴,C00652,廖正兴,liao zheng xing,1874,1934,,,,广东,潮安,,,
147,Focused,林秉懋,C00654,林秉懋,lin bing mao,1884,1960,,,,福建,龙溪,,,
148,Focused,林秉祥,C03175,林秉祥,lin bing xiang ,,,,,,,,,,
149,Focused,林晨
150,Focused,林衡南
151,Focused,林继民
152,Focused,林金山,C00015,林金山,lin jin shan ,1916,2006,新加坡,,, ,,,,
153,Focused,林浪新,C00685,林浪新,lin lang xin,1916,1987,马来西亚 ,砂拉越,古晋,福建,,,,
154,Related,陈登榜
155,Focused,林谋盛,C00688,林谋盛,lin mou sheng,1909,1944,中国,,,福建,南安,,,
156,Focused,林师万,C00697,林师万,lin shi wan,1886,1953,,,,广东,大埔,,,
157,Focused,林树彦,C03506,林树彦,lin shu yan ,,,,,,福建,安溪,,,
158,Focused,林推迁,C00158,林推迁,lin tui qian,1868,1923,中国,福建,海澄 ,福建,海澄,,,
159,Focused,林学大,C00707,林学大,lin xue da,1893,1963,,,,福建,厦门,,,
160,Focused,林有福,C00042,林有福,lin you fu,1914,1984,新加坡,,,,,,,
