person ID,chinese name,hanyupinyin_ corrected,year of birth,year of death,出生地 (1st column is self-designated without referencing sources),,,birth - province,birth - level2,birth - level 3,birth - level 4,birth - level 5
C00001,蔡成金,cai cheng jin ,1911,2007,新加坡,,,,,,,
C00002,陈金锭,chen jin ding ,1832,1882,马来西亚 ,马六甲,,,,,,
C00003,陈美仪,chen mei yi ,1913,1995,新加坡,,,,,,,
C00004,陈庆直,chen qing zhi ,1882,1939,新加坡,,,,,,,
C00005,陈秋娘,chen qiu niang ,1898,1986,新加坡,,,,,,,
C00006,陈威廉,chen wei lian ,1928,2009,新加坡,,,,,,,
C00007,陈祯禄,chen zhen lu ,1883,1960,马来西亚 ,马六甲,,,,,,
C00008,陈振传,chen zhen chuan ,1908,2005,新加坡,,,,,,,
C00009,杜进才,du jin cai ,1921,2012,马来西亚 ,霹雳,,,,,,
C00010,许黄仙妹,xu huang xian mei ,1917,2013,马来西亚 ,康情,,,,,,
C00011,许云德,xu yun de ,1878,1956,新加坡,,,,,,,
C00012,柯守智,ke shou zhi ,1888,1977,印尼 ,爪哇岛,三宝垄,,,,,
C00013,柯玉芝,ke yu zhi ,1920,2010,新加坡,,, ,,,,
C00014,李光耀,li guang yao ,1923,2015,新加坡,,,广东省 , 梅州市 , 大埔县 , 高陂镇 ,党溪乡
C00015,林金山,lin jin shan ,1916,2006,新加坡,,, ,,,,
C00016,刘溪松,liu xi song ,1889,1982,新加坡,,,,,,,
C00017,冯德润,feng de run ,1844,1928,马来西亚 ,马六甲,,,,,,
C00018,吴福庆,wu fu qing ,1888,1961,新加坡,,,,,,,
C00019,吴庆瑞,wu qing rui ,1918,2010,马来西亚 ,马六甲,,福建省 ,漳州,,,
C00020,萧友仁,xiao you ren ,1920,1993,新加坡,,, ,,,,
C00021,林树彦,lin shu yan ,1912,1993,,,,福建省 , 安溪县 , 官桥镇 ,赤岭村,
C00022,连瀛洲,lian ying zhou ,1906,2004,,,,广东省 ,潮阳县,潮南区, 司马浦镇 ,大布乡
C00023,余东璇,yu dong xuan ,1877,1941,马来西亚 ,槟榔屿,,广东省 ,佛山,,,
C00024,周星衢,zhou xing qu ,1905,1986,中国,上海,,浙江省 ,平湖县,,,
C00025,陈德娘,chen de niang,1877,1978,,,,福建,海澄,,,
C00026,陈笃生,chen du sheng,1798,1850,马来西亚 ,马六甲,,福建,海澄,,,
C00027,陈恭锡,chen gong xi,1850,1909,马来西亚 ,马六甲,,福建,海澄,,,
C00028,陈金声,chen jin sheng,1805,1864,马来西亚 ,马六甲,,福建,永春,,,
C00029,陈金钟,chen jin zhong,1829,1892,马来西亚 ,马六甲,,福建,海澄,,,
C00030,陈明水,chen ming shui,1828,1884,,,,福建,永春,,,
C00031,陈齐贤,chen qi xian,,,,,,福建,海澄,,,
C00032,陈若锦,chen ruo jin,1859,1917,,,,福建,永春,,,
C00033,陈武烈,chen wu lie ,1874,1934,,,,福建,海澄,,,
C00034,黄敏,huang min,1823,1868,中国,,,,,,,
C00035,黄仲涵,huang zhong han,1866,1924,荷属东印度,三宝垅,,福建,同安,,,
C00036,李浚源,li jun yuan,1868,1924,,,,福建,永春,,,
C00037,李清渊,li qing yuan,1841,1911,马来西亚 ,马六甲,,福建,永春,,,
C00038,李珠娘,li zhu niang,1895,1947,,,,广东,大埔,,,
C00039,林秉祥,lin bing xiang,1872,1944,中国,,,福建,龙溪,,,
C00040,林文庆,lin wen qing,1869,1957,新加坡,,,福建,海澄,,,
C00041,林义顺,lin yi shun,1879,1936,新加坡,,,广东,澄海,,,
C00042,林有福,lin you fu,1914,1984,新加坡,,,,,,,
C00043,佘连城,she lian cheng,1850,1925,,,,广东,澄海,,,
C00044,佘有进,she you jin,1805,1883,中国,,,广东,澄海,,,
C00045,宋旺相,song wang xiang,1871,1941,新加坡,,,福建,南靖,,,
C00046,王文达,wang wen da,1888,1937,新加坡,,,福建,,,,
C00047,吴顺畴,wu shun chou,1911,1982,印尼,苏门答腊,巴东,,,,,
C00048,薛有礼,xue you li,1851,1906,,,,福建,东山,,,
C00049,薛中华,xue zhong hua,1886,1940,,,,福建,东山,,,
C00050,颜永成,yan yong cheng,1844,1899,马来西亚 ,马六甲,,福建,海澄,,,
C00051,曾锦文,zeng jing wen,1851,1920,马来西亚 ,槟城,,福建,,,,
C00052,章芳琳,zhang fang lin,1825,1893,新加坡,,,福建,海澄,,,
C00053,钟坤成,zhong kun cheng,1878,1934,新加坡,,,,,,,
C00054,周如切,zhou ru qie,? ,1926,,,,,,,,
C00055,白廪,bai lin,1867,1927,,,,福建,安溪,,,
C00056,蔡多华,cai duo hua,1888,1981,,,,福建,南安,,,
C00057,蔡汉亮,cai han liang,约1890 ,?,,,,福建,南安,,,
C00058,蔡和安,cai he an, ,,,,,福建,漳浦,,,
C00059,陈丙丁,chen bing ding,? ,1984,,,,福建,安溪,,,
C00060,陈承丕,chen cheng pi,1895,1964,,,,福建,永春,,,
C00061,陈赐曲,chen ci qu,1901,1988,,,,福建,同安,,,
C00062,陈东岭,chen dong ling,,,,,,福建,厦门,,,
C00063,陈贵贱,chen gui jian,,,,,,福建,厦门,,,
C00064,陈桂荣,chen gui rong,1892, ?,新加坡,,,福建,海澄,,,
C00065,陈汉庆,chen han qing,,,,,,福建,厦门,,,
C00066,陈鸿逵,chen hong kui,1878,1941,,,,广东,潮安,,,
C00067,陈焕其,chen huan qi,1889,1963,,,,福建,海澄,,,
C00068,陈嘉庚,chen jia geng,1874,1961,中国,集美,,福建,同安,,,
C00069,陈金华,chen jin hua,1875, ? ,新加坡,,,,,,,
C00070,陈景兰,chen jing lan,,,,,,福建,金门,,,
C00071,陈锦章,chen jing zhang,? ,1983,新加坡,,,福建,安溪,,,
C00072,陈令典,chen ling dian,1884,1963,,,,福建,龙溪,,,
C00073,陈清锐,chen qing rui,1877, ?,新加坡,,,广东,潮安,,,
C00074,陈庆星,chen qing xing,1903,1965,,,,福建,同安,,,
C00075,陈礽崇,chen reng chong,,,中国,,,福建,永春,,,
C00076,陈礽义,chen reng yi,,,,,,福建,永春,,,
C00077,陈日暹,chen ri xian,,,,,,福建,厦门,,,
C00078,陈森茂,chen sen mao,1902,1941,,,,福建,厦门,,,
C00079,陈水蚌,chen shui bang,,,,,,福建,同安,,,
C00080,陈水文,chen shui wen,1907,1964,新加坡,,,福建,同安,,,
C00081,陈四美,chen si mei,1887,1964,新加坡,,,福建,厦门,,,
C00082,陈万安,chen wan an,1894,1946,,,,福建,同安,,,
C00083,陈文烈,chen wen lie ,1878,1940,新加坡,,,福建,同安,,,
C00084,陈文清,chen wen qing,,,,,,新加坡,,,,
C00085,陈文确,chen wen que,1886,1966,,,,福建,同安,,,
C00086,陈先进,chen xian jing,,,,,,福建,,,,
C00087,陈耀如,chen yao ru,1894,1986,,,,福建,蒲田,,,
C00088,陈永天,chen yong tian,1855, ?,,,,广东,潮阳,,,
C00089,陈育崧,chen yu song,1900,1984,马来西亚 ,槟城,,福建,海澄,,,
C00090,陈振贤,chen zhen xian,1893,1964,,,,广东,潮安,,,
C00091,程丙林,cheng bing lin,1909,?,,,,广东,潮安,,,
C00092,董光纯,dong guang chun,,,中国,,,福建,金门,,,
C00093,方静堂,fang jing tang,1875,1949,,,,广东,揭阳,,,
C00094,冯振汉,feng zhen han,?,1953,,,,福建,金门,,,
C00095,符大炳,fu da bing,,,,,,广东,文昌,,,
C00096,符气浩,fu qi hao,? ,1931,,,,广东,文昌,,,
C00097,古共持,gu gong chi,——,,,,,广东,南海,,,
C00098,古实根,gu shi gen,1880,1948,,,,广东,梅县,,,
C00099,郭可济,guo ke ji,1886,1960,,,,福建,福清,,,
C00100,郭可模,guo ke mo,1890,1963,中国,,,福建,福清,,,
C00101,郭明秋,guo ming qiu,,,,,,,,,,
C00102,郭珊瑚,guo shan hu,1898, ?,,,,福建,龙溪,,,
C00103,郭新,guo xin,1886,1955,,,,海南,文昌,,,
C00104,郭在藩,guo zai fan,,,,,,福建,福清,,,
C00105,何葆仁,he bao ren,1895,1978,,,,福建,厦门,,,
C00106,何启荣,he qi rong,1901,1966,,,,广东,大埔,,,
C00107,洪宝植,hong bao zhi,1888,1949,,,,福建,晋江,,,
C00108,洪高兴,hong gao xing,约1894,?,中国,,,福建,厦门,,,
C00109,洪光腾,hong guang teng,约1844,?,中国,,,福建,南安,,,
C00110,洪开榜,hong kai bang,1890,1970,,,,广东,澄海,,,
C00111,洪肇闪,hong zhao shan,1889,1964,,,,福建,晋江,,,
C00112,侯西反,hou xi fan,1883,1944,,,,福建,南安,,,
C00113,胡少炎,hu shao yan,约1895,1983,中国,金门,,福建,永定,,,
C00114,胡文豹,hu wen bao,1886,1944,缅甸,仰光,,福建,永定,,,
C00115,胡文虎,hu wen hu,1884,1954,缅甸,仰光,,福建,永定,,,
C00116,黄伯权,huang bo quan,约1885,1965,,,,广东,梅会,,,
C00117,黄海筹,huang hai chou,,,,,,广东,台山,,,
C00118,黄金钻,huang jin zhuan,,,,,,,,,,
C00119,黄景顺,huang jing shun,? ,1955,,,,福建,厦门,,,
C00120,黄庆昌,huang qing chang,1890,1978,马来西亚 ,砂拉越,古晋,福建,金门,,,
C00121,黄树芬,huang shu fen,1897,1979,马来亚,柔佛,,广东,台山,,,
C00122,黄衍才,huang yan cai,,,中国,,,福建,南安,,,
C00123,黄奕根,huang yi gen ,? ,1957,,,,广东,大埔,,,
C00124,黄奕寅,huang yi yin,,,中国 ,,,福建,南安,,,
C00125,黄奕住,huang yi zhu,1868,1945,,,,福建,南安,,,
C00126,黄有渊,huang you yuan,,,,,,广东,文昌,,,
C00127,蒋骥甫,jiang ji fu,? ,1944,中国,,,福建,同安,,,
C00128,赖高介,lai gao jie,1894,1961,,,,广东,大埔,,,
C00129,赖金奎,lai jin kui,1878,1951,,,,福建,晋江,,,
C00130,李秉衡,li bing heng,1884,1967,,,,广东,澄海,,,
C00131,李道泽,li dao ze,1868,1935,,,,福建,永春,,,
C00132,李光前,li guang qian,1893,1967,,,,福建,南安,,,
C00133,李金赐,li jin ci,1889,1933,新加坡 ,,,广东,潮阳,,,
C00134,李俊承,li jun cheng,1888,1966,,,,福建,,,,
C00135,李略俊,li lue jun,,,,,,广东,澄海,,,
C00136,李祥杰,li xiang jie,,,,,,福建,南安,,,
C00137,李肇基,li zhao ji,,,,,,福建,同安,,,
C00138,李振殿,li zhen dian,1875,1965,,,,福建,海澄,,,
C00139,梁元浩,liang yuan hao,1896, ?,,,,广东,顺德,,,
C00140,梁允祺,liang yun qi,,,,,,广东,顺德,,,
C00141,林霭民,lin ai min,? ,1964,,,,福建,永定,,,
C00142,林邦彦,lin bang yan,? ,1986,中国,,,福建,永春,,,
C00143,林本道,lin ben dao,,,,,,福建,安溪,,,
C00144,林春木,lin chun mu,1848, ?,,,,福建,东山,,,
C00145,林德根,lin de gen,1886,1951,,,,福建,龙溪,,,
C00146,林独步,lin du bu,,,,,,福建,惠安,,,
C00147,林和坂,lin he ban,1841,1913,,,,福建,龙溪,,,
C00148,林鸿丰,lin hong feng,1891,1967,,,,海南,文昌,,,
C00149,林箕菊,lin ji ju,,,,,,福建,安溪,,,
C00150,林金殿,lin jin dian,1897,1944,,,,福建,同安,,,
C00151,林镜秋,lin jing qiu,? ,1942,中国,,,福建,厦门,,,
C00152,林隆江,lin long jiang,1864,1940,中国,,,福建,永春,,,
C00153,林抡英,lin lun ying,1899,1961,中国,,,福建,龙岩,,,
C00154,林庆年,lin qing nian,1893,1968,,,,福建,安溪,,,
C00155,林生财,lin sheng cai,,,,,,,,,,
C00156,林世魁,lin shi kui,1873,1936,中国,,,广东,大埔,,,
C00157,林树森,lin shu sen,1887,1947,,,,广东,潮安,,,
C00158,林推迁,lin tui qian,1868,1923,中国,福建,海澄 ,福建,海澄,,,
C00159,林维芳,lin wei fang,1863,1910,中国,,,广东,新宁,,,
C00160,林文田,lin wen tian,1873,1943,,,,广东,台山,,,
C00161,林戊午,lin wu wu,,,,,,福建,厦门,,,
C00162,林振毓,lin zhen yu,1892,1983,,,,广东,潮阳,,,
C00163,林忠邦,lin zhong bang,1904,1956,新加坡,,,广东,澄海,,,
C00164,刘炳思,liu bing si,1898,1973,,,,广东,潮安,,,
C00165,刘登鼎,liu deng ding,1879,1945,,,,广东,大埔,,,
C00166,留鸿石,liu hong shi,? ,1922,,,,福建,,,,
C00167,刘木荣,liu mu rong,1911,1990,,,,福建,安溪,,,
C00168,刘士衡,liu shi heng,1889,1941,,,,广东,大埔,,,
C00169,卢新科,lu xin ke,——,,,,,广东,澄海,,,
C00170,罗承德,luo cheng de,1883,1949,中国,,,广东,新会,,,
C00171,梅百福,mei bai fu,,,,,,广东,台山,,,
C00172,邱国瓦,qiu guo wa,1872,1932,,,,福建,海澄,,,
C00173,沈飞龙,shen fei long,,,,,,福建,南安,,,
C00174,史联对,shi lian dui,1910,1986,,,,福建,泉州,,,
C00175,施仁德,shi ren de,1886,1976,,,,福建,厦门,,,
C00176,孙叔玉,sun shu yu,1886,1964,,,,福建,闽侯,,,
C00177,唐连良,tang lian liang,1911,1967,,,,福建,安溪,,,
C00178,王爱华,wang ai hua ,1889,1973,,,,福建,晋江,,,
C00179,王邦杰,wang bang jie,1856,1930,中国,,,广东,潮安,,,
C00180,王长顺,wang chang shun,1855,?,新加坡,,,福建,同安,,,
C00181,王嘉禄,wang jia lu,——,,中国,,,福建,南安,,,
C00182,王锦良,wang jin liang,——,,,,,福建,同安,,,
C00183,王经叨,wang jing dao,?,1965,,,,福建,同安,,,
C00184,王禄梓,wang lu zi ,1882,1970,,,,福建,福清,,,
C00185,王绍经,wang shao jing,1860,1939,,,,广东,琼海,,,
C00186,王声世,wang sheng shi,1871,1941,,,,福建,永春,,,
C00187,王水斗,wang shui dou,——,,,,,福建,东山,,,
C00188,王万高,wang wan gao,——,,中国,,,福建,福清,,,
C00189,翁赞商,weng zan shang,1897,1977,,,,福建,金门,,,
C00190,吴可仕,wu ke shi,1901,1988,,,,广东,琼州,,,
C00191,伍连德,wu lian de,1879,1960,马来西亚 ,槟榔屿  ,,广东,台山,,,
C00192,吴士基,wu shi ji,? ,1928,,,,福建,诏安,,,
C00193,谢荔圃,xie li pu,1895,1950,,,,福建,惠安,,,
C00194,谢龙门,xie long men,,,新加坡,,,福建,龙溪,,,
C00195,谢启山,xie qi shan,1895,1970,,,,福建,惠安,,,
C00196,谢荣西,xie rong xi,1881,1942,,,,福建,惠安,,,
C00197,谢天福,xie tian fu,,,,,,福建,海澄,,,
C00198,徐东藩,xu dong fan,1885,1958,中国,湖北,黄州,湖北,黄州,,,
C00199,许济侯,xu ji hou,? ,1951,,,,福建,惠安,,,
C00200,徐统雄,xu tong xiong,约1876,1937,,,,广东,大埔,,,
C00201,薛木本,xue mu ben,1833, ?,,,,福建,海澄,,,
C00202,薛武院,xue wu yuan,,,中国,,,福建,厦门,,,
C00203,颜长贵,yan chang gui,,,,,,福建,海澄,,,
C00204,颜世芳,yan shi fang,1887,1956,,,,福建,同安,,,
C00205,杨六使,yang liu shi,,,中国,厦门,,福建,龙溪,,,
C00206,杨以炽,yang yi chi,,,,,,福建,闽侯,,,
C00207,杨溢璘,yang yi lin,1896,1949,,,,广东,梅县,,,
C00208,杨缵文,yang zuan wen,1881,1967,,,,广东,潮安,,,
C00209,叶清沙,ye qing sha,——,,中国,,,福建,同安,,,
C00210,叶怡煎,ye yi jian,1901,1982,,,,福建,同安,,,
C00211,殷雪村,yin xue chun,1876,1958,中国,厦门,鼓浪屿,江苏,常熟,,,
C00212,张金荣,zhang jin rong,,,,,,福建,南安,,,
C00213,张来喜,zhang lai xi,,,中国,,,广东,澄海,,,
C00214,张仁南,zhang ren nan,,,,,,广东,澄海,,,
C00215,张善庆,zhang shan qing,1855,1916,中国,,,福建,南靖,,,
C00216,张叔耐,zhang shu nai,,,,,,江苏,松江,,,
C00217,张淑源,zhang shu yuan,1892,1957,新加坡,,,福建,同安,,,
C00218,张炎,zhang yan,,,中国,,,福建,晋江,,,
C00219,张振南,zhang zhen nan,? ,1924,,,,广东,中山,,,
C00220,郑古悦,zheng gu yue,1880,1949,,,,福建,金门,,,
C00221,郑螺生,zheng luo sheng,1863,1938,,,,福建,同安,,,
C00222,郑聘廷,zheng pin yan,1872,1944,,,,福建,惠安,,,
C00223,郑则士,zheng ze shi ,1880,1951,,,,广东,潮阳,,,
C00224,周献瑞,zhou xian rui,1887,1964,中国,厦门,,福建,南安,,,
C00225,庄锦发,zhuang jin fa,？,1959,,,,福建,福清,,,
C00226,卓金树,zhuo jin shu,1902,1967,新加坡,,,福建,南安,,,
C00227,白清贤,bai qing xian,1914,1990,,,,福建,安溪,,,
C00228,白丙壬,bai bing ren,1905,1964,新加坡,,,福建,安溪,,,
C00229,白德建,bai de jian,1901,？,马来西亚 ,槟城,,福建,安溪,,,
C00230,白梅文,bai mei wen,1884,1953,,,,福建,安溪,,,
C00231,白圻引,bai qi yin,1869,1931,,,,福建,安溪,,,
C00232,白日葵,bai ri kui,1905,1988,,,,福建,安溪,,,
C00233,白文瑞,bai wen duan ,1913,1982,,,,福建,安溪,,,
C00234,白锡波,bai xi bo,1900,1978,,,,福建,安溪,,,
C00235,白锡澄,bai xi cheng,1903,1983,,,,福建,安溪,,,
C00236,白锡平,bai xi ping,1906,1982,,,,福建,安溪,,,
C00237,蔡沧浪,cai chang lang,约1788,1838,马来西亚 ,马六甲,,福建,海澄,,,
C00238,蔡成才,cai cheng cai,,,,,,,,,,
C00239,蔡芳芸,cai fang yun,1894,1977,,,,福建,晋江,,,
C00240,蔡河珊,cai he shan,1904,1960,,,,广东,潮安,,,
C00241,蔡寰青,cai huan qing,1907,1970,,,,广东,澄海,,,
C00242,蔡嘉种,cai jia zhong,1872,1944,,,,福建,金门,,,
C00243,蔡金吉,cai jin ji,1859,1907,,,,福建,,,,
C00244,蔡绵溪,cai jing xi,1836,1903,马来西亚 ,马六甲,,福建,海澄,,,
C00245,蔡克谐,cai ke xie,1891,1939,,,,福建,,,,
C00246,蔡烈安,cai lie an,1871,1927,,,,福建,安溪,,,
C00247,蔡茂春,cai mao chun,约1819,1879,,,,广东,潮阳,,,
C00248,蔡民泉,cai min quan,? ,1990,,,,广东,澄海,,,
C00249,蔡南,cai nan,,,,,,福建,南安,,,
C00250,蔡攀锦,cai pan jing,1938,1990,,,,,,,,
C00251,蔡泉玉,cai quan yu,? ,1900,马来西亚 ,马六甲,,福建,,,,
C00252,蔡润贤,cai run xian,,,,,,福建,,,,
C00253,蔡添福,cai tian fu,,,,,,,,,,
C00254,蔡心义,cai xin yi,,,,,,,,,,
C00255,蔡延齡,cai yan ling,? , 约1849,,,,福建,漳州,,,
C00256,蔡仰泰,cai yang tai,1865,1911,马来西亚 ,马六甲,,福建,,,,
C00257,蔡开云,cai yun kai,? ,1865,马来西亚 ,马六甲,,福建,,,,
C00258,蔡泽信,cai ze xin,1912,1978,,,,广东,琼山,,,
C00259,蔡志民,cai zhi min,1900,1980,,,,广东,丰顺,,,
C00260,蔡子庸,cai zi yong,1847, ?,,,,福建,海澄,,,
C00261,曹符成,cao fu cheng,1798,1856,,,,,,,,
C00262,曹亚志,cao ya zhi,1782,1830,,,,广东,台山,,,
C00263,常凯,chang kai,1916,1990,,,,福建,晋江,,,
C00264,陈阿八,chen a ba,? ,1897,中国,,,广东,嘉应,,,
C00265,陈白影,chen bai ying,1916,1981,,,,广东,潮安,,,
C00266,陈丙荣,chen bing rong,1878,1955,,,,福建,,,,
C00267,陈长乐,chen chang le,1886,1961,新加坡,,,广东,台山,,,
C00268,陈长佑,chen chang you,,,,,,,,,,
C00269,陈成宝,chen cheng bao,1830,1879,马来亚,霹雳,,广东,潮安,,,
C00270,陈成桂,chen cheng gui,1879,1935,,,,广东,琼山,,,
C00271,陈楚楠,chen chu nan,1884,1971,,,,福建,厦门,,,
C00272,陈纯道,chen chun dao ,1854,1891,,,,福建,海澄,,,
C00273,陈翠嫦,chen cui chang,1934,1981,新加坡,,,福建,同安,,,
C00274,陈大耳,chen da er,,,,,,,,,,
C00275,陈德才,chen de cai,,,,,,福建,海澄,,,
C00276,陈德润,chen de run,1860,1918,,,,广东,潮安,,,
C00277,陈冬发,chen dong fa,,,,,,福建,,,,
C00278,陈佛元,chen fo yuan,,,,,,,,,,
C00279,陈福荣,chen fu rong ,? ,1874,,,,,,,,
C00280,陈福源,chen fu yuan,1858, ?,中国,,,,,,,
C00281,陈恭敬,chen gong jing,? ,1915,,,,福建,海澄,,,
C00282,陈恭三,chen gong san,1861, ?,马六甲,,,福建,海澄,,,
C00283,陈光平,chen guang ping,1932,1974,,,,广东,琼州,,,
C00284,陈光为,chen guang wei,1842,1888,新加坡,,,新加坡,,,,
C00285,陈国朝,chen guo chao,,,,,,,,,,
C00286,陈国础,chen guo chu,1902,1969,,,,福建,金门,,,
C00287,陈国忠,chen guo zhong,,,,,,,,,,
C00288,陈浩盛,chen hao sheng,? ,1823,,,,广东,潮州,,,
C00289,陈合隆,chen he long,,,,,,,,,,
C00290,陈合盛,chen he sheng,,,,,,新加坡,,,,
C00291,陈合意,chen he yi ,,,,,,,,,,
C00292,陈怀璧,chen huai bi,? ,1986,,,,福建,安溪,,,
C00293,陈灰蔓,chen hui man,1913,1979,,,,福建,福州,,,
C00294,陈火平,chen huo ping,1923,1990,,,,广东,潮州,,,
C00295,陈季马呙,chen ji ？,1880, ?,,,,福建,海澄,,,
C00296,陈季随,chen ji sui,1880,1937,,,,福建,海澄,,,
C00297,陈锦发,chen jing fa,? ,1987,,,,福建,安溪,,,
C00298,陈景华,chen jing hua,,,,,,广东,潮安,,,
C00299,陈景瑞,chen jing rui,,,,,,广东,潮安,,,
C00300,陈敬堂,chen jing tang,1857,1941,,,,广东,潮安,,,
C00301,陈金田,chen jing tian,? ,1973,,,,福建,海澄,,,
C00302,陈敬贤,chen jing xian,1888,1936,,,,福建,同安,,,
C00303,陈静雅,chen jing ya,,,,,,福建,海澄,,,
C00304,陈景昭,chen jing zhao,1907,1972,,,,广东,潮州,,,
C00305,陈俊杰,chen jun jie,? ,1903,,,,,,,,
C00306,陈俊睦,chen jun mu,1824,1880,,,,福建,海澄,,,
C00307,陈开顺,chen kai shun,1803,1857,,,,广东,海阳,,,
C00308,陈肯构,chen ken gou,1895,1945,,,,广东,饶平,,,
C00309,陈坤水,chen kun shui,,,,,,,,,,
C00310,陈来昌,chen lai chang,1886,1965,,,,浙江,宁波,,,
C00311,陈炼青,chen lian qing,1907,1943,,,,广东,潮州,,,
C00312,陈烈三,chen lie san,? ,1957,,,,广东,琼州,,,
C00313,陈领,chen ling  ,1796,1852,,,,广东,南海,,,
C00314,陈六使,chen liu shi,1897,1972,中国,厦门,集美,福建,同安,,,
C00315,陈龙曾,chen long ceng,,,,,,广东,大埔,,,
C00316,沉橹,chen lu,1904,1967,,,,广东,潮安,,,
C00317,陈路加,chen lu jia,,,,,,,,,,
C00318,陈梦桃,chen meng tao,,,,,,广东,嘉应,,,
C00319,陈明岩,chen ming yan,1832,1893,,,,福建,永春,,,
C00320,陈明远,chen ming yuan,1851,1891,,,,,,,,
C00321,陈谦福,chen qian fu,1862,1922,,,,,,,,
C00322,陈清华,chen qing hua,1910,1982,,,,福建,金门,,,
C00323,陈清吉,chen qing ji,? ,1966,,,,福建,金门,,,
C00324,陈清泉,chen qing quan,1932,1975,新加坡,,,福建,厦门,,,
C00325,陈庆元,chen qing yuan,1900,1973,,,,福建,龙岩,,,
C00326,陈庆云,chen qing yun,? ,1877,新加坡,,,,,,,
C00327,陈庆照,chen qing zhao,,,,,,,,,,
C00328,陈庆真,chen qing zhen,? ,1851,新加坡,,,新加,坡,,,
C00329,陈秋槎,chen qiu cha,1892,1942,,,,广东,澄海,,,
C00330,陈秋金,chen qiu jin,1883, ?,,,,,,,,
C00331,陈人浩,chen ren hao,1908,1976,,,,福建,福州,,,
C00332,陈日定,chen ri ding,1895,1970,新加坡,,,福建,安溪,,,
C00333,陈荣光,chen rong guang ,,,,,,广东,嘉应,,,
C00334,陈瑞林,chen rui lin,,,,,,福建,海澄,,,
C00335,陈瑞麟,chen rui ling,1892,1962,,,,广东,梅县,,,
C00336,陈若鍂,chen ruo pian,1858,1909,,,,福建,永春,,,
C00337,陈惹愚,chen re yu,1866,1939,,,,广东,潮安,,,
C00338,陈诗武,chen shi wu,1832,1883,,,,,,,,
C00339,陈水鲤,chen shui li,1900,1945,新加坡,,,福建,同安,,,
C00340,陈祀安,chen si an,1899, ? ,马来西亚 ,吉隆坡,,,,,,
C00341,陈祀邦,chen si bang,,,马来西亚 ,吉隆坡,,,,,,
C00342,陈祀柏,chen si bo,? ,1909,,,,福建,同安,,,
C00343,陈祀恩,chen si en,1886,1948,马来西亚 ,吉隆坡,,,,,,
C00344,陈思敏,chen si min,1882,1939,,,,福建,永春,,,
C00345,陈思源,chen si yuan,,,,,,福建,永春,,,
C00346,陈送,chen song,1762,1835,中国,广州,,广东,广州,,,
C00347,陈泰,chen tai,1839,1898,中国,,,福建,金门,,,
C00348,陈天全,chen tian quan,,,,,,,,,,
C00349,陈维龙,chen wei long,1897,1988,,,,福建,永春,,,
C00350,陈维贤,chen wei xian,,,,,,福建,海澄,,,
C00351,陈文进,chen wen jin,1857,1933,马来西亚 ,马六甲,,马六甲,,,,
C00352,陈问樵,chen wen qiao,,,,,,广东,丰顺,,,
C00353,陈文元,chen wen yuan,,,,,,,,,,
C00354,陈武略,chen wu lue,,,,,,,,,,
C00355,陈锡光,chen xi guang,1892,1952,中国,,,广东,潮安,,,
C00356,陈赐九,chen xi jiu ,1906,1977,,,,广东,潮安,,,
C00357,陈仙精,chen xian jing,,,,,,,,,,
C00358,陈旭年,chen xu nian,1827,1902,,,,广东,潮安,,,
C00359,陈雪阶,chen xue jie,1895,1946,中国,,,广东,梅县,,,
C00360,陈延谦,chen yan qian,1881,1943,,,,福建,同安,,,
C00361,陈仰安,chen yang an,1940,1976,,,,广东,潮安,,,
C00362,陈阳春,chen yang chun,? ,1958,,,,广东,大埔,,,
C00363,陈羊羽,chen yang yu,1914,1968,,,,福建,福州,,,
C00364,陈应策,chen ying ce,,,,,,,,,,
C00365,陈银夏,chen ying xia,,,,,,,,,,
C00366,陈永传,chen yong chuan,,,,,,广东,,,,
C00367,陈永赐,chen yong ci,1831,1914,,,,广东,潮安,,,
C00368,陈永辉,chen yong hui,1901,1964,印尼,棉兰,,印尼,棉兰,,,
C00369,陈有朗,chen you lang,1797,1867,,,,福建,海澄,,,
C00370,陈有益,chen you yi,1888,1961,,,,福建,龙岩,,,
C00371,陈玉莲,chen yu lian,1947,1987,新加坡,,,广东,文昌,,,
C00372,陈源泉,chen yuan quan,1887,1946,新加坡,,,广东,潮阳,,,
C00373,陈岳书,chen yue shui,1900,1971,中国,,,浙江,苍南,,,
C00374,陈允吉,chen yun ji,? ,1884,新加坡,,,新加坡,,,,
C00375,陈允洛,chen yun luuo,1889,1981,,,,福建,晋江,,,
C00376,陈云秋,chen yun qiu,,,,,,广东,潮安,,,
C00377,陈占伟,chen zhan wei,? ,1989,中国,,,广东,大埔,,,
C00378,陈祯池,chen zhen chi,? ,1914,,,,,,,,
C00379,陈振盛,chen zhen sheng,? ,1882,,,,,,,,
C00380,陈振夏,chen zhen xia,1911,1987,,,,福建,晋江,,,
C00381,陈祯详,chen zhen xiang,1874,1922,,,,福建,厦门,,,
C00382,陈正端,chen zheng duan,1864,1902,,,,,,,,
C00383,陈振生,chen zheng sheng,,,,,,,,,,
C00384,陈之初,chen zhi cu,1911,1980,,,,广东,潮州,,,
C00385,陈芷馨,chen zhi xin,1870,1942,,,,广东,大埔,,,
C00386,陈周锦,chen zhou jin,,,,,,,,,,
C00387,陈戆,chen zhuang,? ,1943,,,,福建,漳州,,,
