objectid,noname,pinyin,simplified_chinese,tarditional_chinese,official_name,address,postal_code,new_address,x,y,long,lat,foundingdate,phone,maingods,origin,origindetail,foundinglocation,website,united,subtemples,photos
481,748.000000000000000,Shanzhuyuan Fudeci,山竹园福德祠,山竹园福德祠,Shanzhuyuan Fudeci,177N Lorong 7 Toa Payoh 319318,319318,177L LORONG 7 TOA PAYOH,30577.169475960000000,35642.104694590002000,103.856475960000000,1.338608950000000,,,"土地公, 土地婆",广东省,广东省,,,1,"大巴窑五合廟 

1. 大巴窑五合廟
2. 通興港亞佛律甘榜神會  
3. 聚天宮（飛天宮/潮閩人）
4. 山竹圓福德祠（粵人）
5. 昭應祠（瓊人）
6 華德善堂（合租昭應祠）
7. 李娘娘無極宮（瓊，退出）
   聚天宮接收，用為太歲殿）",NA
28,54.000000000000000,Caishi Lianhegong,菜市联合宫,菜市聯合宮,Chai Chee United Temple,6 Chai Chee Lane 469020,469020,6 CHAI CHEE LANE,37548.387424389999000,34523.384791600001000,103.919116079999990,1.328490250000000,,,,NA,NA,,,1,"菜市聯合宮

1. 菜市聯合宮
2. 竹雲宮
3. 福山亭
4. 福靈宮",NA
17,29.000000000000000,Baoxing Tan,宝兴坛,寶興壇,Baoxing Tan,139 Bedok Reservoir Road #02-1489 470139,470139,139 BEDOK RESERVOIR ROAD,36954.255537539997000,35201.662944449999000,103.913777680000000,1.334624530000000,1930,,,广东省,广东省 潮州市,,,0,NA,NA
127,205.000000000000000,Fengshan Si   Si Hua,凤山寺,鳳山寺,Si Hua Feng Shan Si,"247A, Jalan Kayu 799471",799471,247 JALAN KAYU,32399.640612870000000,42040.466969430003000,103.872852880000000,1.396473230000000,,,,NA,NA,,,0,NA,NA
130,209.000000000000000,Fengshan Tan Feilong Gong Lianhemiao,风山坛飞龙宫 联合庙,風山壇飛龍宮 聯合廟,Hong Sun Tan Fei Loong Gong Combined Temple,15 Woodlands Industrial Park E4 757749,757749,15 WOODLANDS INDUSTRIAL PARK E4,23786.241834220000000,48102.861132619997000,103.795453679999990,1.451299340000000,,,,NA,NA,,,1,"風山壇飛龍宮聯合廟

1. 風山壇飛龍宮聯合廟
2. 飛龍宮（蓮花三太子）
3. 鳳山壇（德惠）",NA
15,27.000000000000000,Baoguang Fotang ,宝光佛堂,寶光佛堂,Pao Kwan Foh TangTp,21 Shunfu Road 575741,575741,21 SHUNFU ROAD,28359.927192840001000,37108.160486130000000,103.836552750000000,1.351867540000000,1993,,,广东省,广东省 潮州市,,,0,NA,NA
14,25.000000000000000,Baogong Miao,包公庙,包公廟,Bao Gong Temple,72 Sengkang West Avenue 797651,797651,70 SENGKANG WEST AVENUE,32352.070783759998000,41516.749036759997000,103.872425350000000,1.391736920000000,,,,NA,NA,,,1,"惹蘭加由聯合廟

1. 惹蘭加由聯合廟
2. 萬國山忠義廟
3. 包公廟
4. 龍南殿
5. 烏敏泰佛寺",NA
45,87.000000000000000,Chongfeng Shantang,崇峰善堂,崇峰善堂,Chung Hong Siang Tng,106 Pasir Panjang Road 118534,118534,106 PASIR PANJANG ROAD,23653.828667459999000,28684.401733830000000,103.794266650000000,1.275685740000000,1973,,宋大峰祖师,NA,NA,Punggol's Jalan Kampong Tengah,,1,"中華善堂藍十字總會

1. 中華善堂藍十字總會
2. 普德善堂
3. 崇峰善堂",NA
55,101.000000000000000,Ci'en Ge,慈恩阁  大树下,慈恩閣  大樹下,Ci Ern Ge,177 Toa Payoh Central 310177,310177,177 TOA PAYOH CENTRAL,29729.020739529999000,35121.444463899999000,103.848854820000000,1.333900340000000,,,观世音菩萨,NA,NA,,,0,NA,NA
167,255.000000000000000,Fushou Tang ,福寿堂,福壽堂,Hock Siew Tong Temple ,357 Race Course Road 218633,218633,357 RACE COURSE ROAD,30580.610007399999000,33019.241706499997000,103.856506659999990,1.314888700000000,,,观世音菩萨,NA,NA,,,0,NA,NA
232,354.000000000000000,Huaguo Shan Pingan Mingde Gong,花果山平安明德宫,花果山平安明德宮,Hua Guo Shan Ping An Ming De Gong,31 Marsiling Industrial Estate Road 3 739255,739255,31 MARSILING INDUSTRIAL ESTATE ROAD 3,22369.948242380000000,46822.919026240001000,103.782727110000000,1.439723770000000,,,,NA,NA,,,1,"風圖廟聯合廟

1. 風圖廟聯合廟
2. 鳳圖廟
3. 觀音廟
4. 環圖廟
5. 花果山平安明德宮
6. 義星堂",NA
183,277.000000000000000,Guanshan Miao,关善庙,關善廟,Guanshan Miao,"31, Cantonment Road    089747",089747,31 CANTONMENT ROAD,28777.078637549999000,29036.653687769998000,103.840300920000000,1.278871680000000,,,,NA,NA,,,0,NA,NA
